Date/Time,Year,Month,Day,Data Quality,Max Temp (C),Max Temp Flag,Min Temp (C),Min Temp Flag,Mean Temp (C),Mean Temp Flag,Heat Deg Days (C),Heat Deg Days Flag,Cool Deg Days (C),Cool Deg Days Flag,Total Rain (mm),Total Rain Flag,Total Snow (cm),Total Snow Flag,Total Precip (mm),Total Precip Flag,Snow on Grnd (cm),Snow on Grnd Flag,Dir of Max Gust (10's deg),Dir of Max Gust Flag,Spd of Max Gust (km/h),Spd of Max Gust Flag
11-04-23,2011,4,23, ,22,,4.1,,13.1,,4.9,,0,,6.6,,0,,6.6,,0,,27,,59,
11-04-24,2011,4,24, ,12.6,,4,,8.3,,9.7,,0,,0,,0,,0,,0,,0,,0,
11-04-25,2011,4,25, ,11.8,,3.4,,7.6,,10.4,,0,,6.2,,0,,6.2,,0,,0,,0,
11-04-26,2011,4,26, ,11.9,,8.3,,10.1,,7.9,,0,,12.8,,0,,12.8,,0,,9,,61,
11-04-27,2011,4,27, ,22.6,,7.2,,14.9,,3.1,,0,,4.6,,0,,4.6,,0,,22,,69,
11-04-28,2011,4,28, ,16,,5.9,,11,,7,,0,,4.6,,0,,4.6,,0,,25,,95,
11-04-29,2011,4,29, ,9.4,,4.3,,6.9,,11.1,,0,,0,T,0,,0,T,0,,28,,37,
11-04-30,2011,4,30, ,13.8,,2.4,,8.1,,9.9,,0,,0,,0,,0,,0,,0,,0,
11-05-01,2011,5,1, ,12.2,,9.2,,10.7,,7.3,,0,,3.8,,0,,3.8,,0,,0,,0,
11-05-02,2011,5,2, ,15.7,,6.4,,11.1,,6.9,,0,,0.8,,0,,0.8,,0,,36,,41,
11-05-03,2011,5,3, ,7.3,,4.6,,6,,12,,0,,9,,0,,9,,0,,35,,37,
11-05-04,2011,5,4, ,13.9,,2.8,,8.4,,9.6,,0,,0,,0,,0,,0,,34,,46,
11-05-05,2011,5,5, ,17.4,,4.1,,10.8,,7.2,,0,,0,,0,,0,,0,,34,,46,
11-05-06,2011,5,6, ,15.8,,6.6,,11.2,,6.8,,0,,2,,0,,2,,0,,25,,48,
11-05-07,2011,5,7, ,17.5,,5.5,,11.5,,6.5,,0,,0,,0,,0,,0,,0,,0,
11-05-08,2011,5,8, ,17.6,,5.7,,11.7,,6.3,,0,,0,,0,,0,,0,,35,,37,
11-05-09,2011,5,9, ,17.1,,5.2,,11.2,,6.8,,0,,0,,0,,0,,0,,0,,0,
11-05-10,2011,5,10, ,16.7,,7.7,,12.2,,5.8,,0,,0,,0,,0,,0,,12,,35,
11-05-11,2011,5,11, ,19.8,,11.1,,15.5,,2.5,,0,,0,,0,,0,,0,,11,,37,
11-05-12,2011,5,12, ,16.6,,11.3,,14,,4,,0,,0.2,,0,,0.2,,0,,0,,0,
11-05-13,2011,5,13, ,26.1,,10.4,,18.3,,0,,0.3,,2,,0,,2,,0,,0,,0,
11-05-14,2011,5,14, ,17.8,,12,,14.9,,3.1,,0,,27.2,,0,,27.2,,0,,6,,33,
11-05-15,2011,5,15, ,12.1,,7.3,,9.7,,8.3,,0,,16.8,,0,,16.8,,0,,3,,48,
11-05-16,2011,5,16, ,10.3,,7.3,,8.8,,9.2,,0,,1,,0,,1,,0,,5,,46,
11-05-17,2011,5,17, ,14.6,,7.5,,11.1,,6.9,,0,,4.2,,0,,4.2,,0,,10,,41,
11-05-18,2011,5,18, ,18.8,,12.5,,15.7,,2.3,,0,,23.2,,0,,23.2,,0,,9,,50,
11-05-19,2011,5,19, ,20.1,,10.3,,15.2,,2.8,,0,,0,T,0,,0,T,0,,0,,0,
